Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: prompt,Spreadsheet: opt_a,Spreadsheet: opt_b,Spreadsheet: correct,Spreadsheet: randomise_trials,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: __EMPTY_3,Manipulation: Spreadsheet
7,1680093368267,29/03/2023 12:36:08,1680096968267,1,29/03/2023 14:36:08,127819,12,task-6yod,,28526212,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,Interpretation,5,BCA,BA,conds_collocation,6,main,Screen 1,cnypgd,1,response,B,6866.966000190732,6864.779999999999,6866.966000190732,6866.966000190732,6864.779999999999,6866.966000190732,1,6866.966000190732,0,0,,Click Response,Response,3,object-6,main,A pintura grande é muito cara.,A pintura é impressionante e custa muito dinheiro,A pintura é enorme e custa muito dinheiro,opt_b,1,,post,,,,
8,1680093378717,29/03/2023 12:36:18,1680096978717,1,29/03/2023 14:36:18,127819,12,task-6yod,,28526212,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,Interpretation,5,BCA,BA,conds_collocation,7,main,Screen 1,cnypgd,1,response,B,10452.286000095366,10447.483999999997,10452.286000095366,10452.286000095366,10447.483999999997,10452.286000095366,1,10452.286000095366,0,0,,Click Response,Response,3,object-6,main,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_a,1,,pre,Santiago comprÃ³ una nueva computadora.,,9,
9,1680093389724,29/03/2023 12:36:29,1680096989724,1,29/03/2023 14:36:29,127819,12,task-6yod,,28526212,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,Interpretation,5,BCA,BA,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,11011.501999904634,10996.974000000002,11011.501999904634,11011.501999904634,10996.974000000002,11011.501999904634,1,11011.501999904634,0,0,,Click Response,Response,2,object-5,main,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,1,,post,Mi abuela tiene dos lÃ¡mparas antiguas en el salÃ³n.,,7,
10,1680093397116,29/03/2023 12:36:37,1680096997116,1,29/03/2023 14:36:37,127819,12,task-6yod,,28526212,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,Interpretation,5,BCA,BA,conds_collocation,9,main,Screen 1,cnypgd,1,response,A,7406.728000190735,7398.466,7406.728000190735,7406.728000190735,7398.466,7406.728000190735,1,7406.728000190735,0,0,,Click Response,Response,2,object-5,main,Seus pais falam uma rara língua.,Eles falam uma linguagem estranha.,Eles falam um idioma que muito poucas pessoas falam.,opt_b,1,,pre,Sus padres hablan una rara lengua.,,8,
11,1680093408898,29/03/2023 12:36:48,1680097008898,1,29/03/2023 14:36:48,127819,12,task-6yod,,28526212,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,Interpretation,5,BCA,BA,conds_collocation,10,main,Screen 1,cnypgd,1,response,B,11790.262000190734,11780.040999999997,11790.262000190734,11790.262000190734,11780.040999999997,11790.262000190734,1,11790.262000190734,0,0,,Click Response,Response,3,object-6,main,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_a,1,,post,En esa casa vive un hombre solo.,,10,
12,1680093408902,29/03/2023 12:36:48,1680097008902,1,29/03/2023 14:36:48,127819,12,task-6yod,,28526212,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,Interpretation,5,BCA,BA,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,
1,1680111342046,29/03/2023 17:35:42,1680096942046,-4,29/03/2023 09:35:42,127819,12,task-6yod,,28526248,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,Interpretation,5,CAB,AB,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1680111347275,29/03/2023 17:35:47,1680096947275,-4,29/03/2023 09:35:47,127819,12,task-6yod,,28526248,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,Interpretation,5,CAB,AB,conds_collocation,1,main,Screen 1,cnypgd,1,response,B,5256.6359999999995,5239.923,5256.6359999999995,5256.6359999999995,5239.923,5256.6359999999995,1,5256.6359999999995,0,0,,Click Response,Response,3,object-6,main,Marta é a pessoa única de quem falei.,"Não há ninguém (tão especial) quanto Marta, que eu te disse.","Não contei a você sobre mais ninguém, além de Marta.",opt_b,1,,post,Marta es la persona Ãºnica de quien te hablÃ©.,,8,
3,1680111350857,29/03/2023 17:35:50,1680096950857,-4,29/03/2023 09:35:50,127819,12,task-6yod,,28526248,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,Interpretation,5,CAB,AB,conds_collocation,2,main,Screen 1,cnypgd,1,response,A,3600.237000000001,3583.5380000000005,3600.237000000001,3600.237000000001,3583.5380000000005,3600.237000000001,1,3600.237000000001,0,0,,Click Response,Response,2,object-5,main,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,1,,pre,Mariela es una vieja amiga de Florencia.,,9,
4,1680111350957,29/03/2023 17:35:50,1680096950957,-4,29/03/2023 09:35:50,127819,12,task-6yod,,28526248,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,Interpretation,5,CAB,AB,conds_collocation,3,main,Screen 1,cnypgd,1,response,A,115.68400000074507,99.125,115.68400000074507,115.68400000074507,99.125,115.68400000074507,1,115.68400000074507,0,0,,Click Response,Response,2,object-5,main,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,1,,post,Mi abuela tiene dos lÃ¡mparas antiguas en el salÃ³n.,,7,
