Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: prompt,Spreadsheet: opt_a,Spreadsheet: opt_b,Spreadsheet: correct,Spreadsheet: randomise_trials,Manipulation: Spreadsheet
3,1680129012043,29/03/2023 22:30:12,1680103812043,-7,29/03/2023 08:30:12,128242,3,task-6yod,,28530021,BLIND,8479557,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,Interpretation,3,conds_collocation,2,main,Screen 1,cnypgd,1,response,B,16989,16972,16989,16989,16972,16989,1,0,16989,0,0,,Click Response,Response,3,object-6,main,Seus pais falam uma rara língua.,Eles falam um idioma que muito poucas pessoas falam.,Eles falam uma linguagem estranha.,opt_a,1,
4,1680129031017,29/03/2023 22:30:31,1680103831017,-7,29/03/2023 08:30:31,128242,3,task-6yod,,28530021,BLIND,8479557,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,Interpretation,3,conds_collocation,3,main,Screen 1,cnypgd,1,response,A,18991,18974,18991,18991,18974,18991,1,0,18991,0,0,,Click Response,Response,2,object-5,main,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,1,
5,1680129041039,29/03/2023 22:30:41,1680103841039,-7,29/03/2023 08:30:41,128242,3,task-6yod,,28530021,BLIND,8479557,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,Interpretation,3,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,10031,10014,10031,10031,10014,10031,1,0,10031,0,0,,Click Response,Response,2,object-5,main,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_b,1,
6,1680129046604,29/03/2023 22:30:46,1680103846604,-7,29/03/2023 08:30:46,128242,3,task-6yod,,28530021,BLIND,8479557,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,Interpretation,3,conds_collocation,5,main,Screen 1,cnypgd,1,response,A,5592,5575,5592,5592,5575,5592,1,0,5592,0,0,,Click Response,Response,2,object-5,main,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,1,
7,1680129057608,29/03/2023 22:30:57,1680103857608,-7,29/03/2023 08:30:57,128242,3,task-6yod,,28530021,BLIND,8479557,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,Interpretation,3,conds_collocation,6,main,Screen 1,cnypgd,1,response,B,11017,11001,11017,11017,11001,11017,1,0,11017,0,0,,Click Response,Response,3,object-6,main,O próprio presidente conversou com a classe.,Muitos anos atrás eles são amigos.,O presidente que já havia falado com a classe.,opt_a,1,
8,1680129071006,29/03/2023 22:31:11,1680103871006,-7,29/03/2023 08:31:11,128242,3,task-6yod,,28530021,BLIND,8479557,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,Interpretation,3,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,13416,13400,13416,13416,13400,13416,1,0,13416,0,0,,Click Response,Response,2,object-5,main,Seus vizinhos são pobres homens.,Os vizinhos são infelizes.,Os vizinhos não têm dinheiro.,opt_a,1,
9,1680129085960,29/03/2023 22:31:25,1680103885960,-7,29/03/2023 08:31:25,128242,3,task-6yod,,28530021,BLIND,8479557,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,Interpretation,3,conds_collocation,8,main,Screen 1,cnypgd,1,response,B,14972,14955,14972,14972,14955,14972,1,0,14972,0,0,,Click Response,Response,3,object-6,main,O artigo contém informações certas.,Contém algumas informações.,Ele contém informações que são para verar.,opt_b,1,
10,1680129098949,29/03/2023 22:31:38,1680103898949,-7,29/03/2023 08:31:38,128242,3,task-6yod,,28530021,BLIND,8479557,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,Interpretation,3,conds_collocation,9,main,Screen 1,cnypgd,1,response,A,13007,12990,13007,13007,12990,13007,1,0,13007,0,0,,Click Response,Response,2,object-5,main,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,1,
11,1680129109423,29/03/2023 22:31:49,1680103909423,-7,29/03/2023 08:31:49,128242,3,task-6yod,,28530021,BLIND,8479557,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,Interpretation,3,conds_collocation,10,main,Screen 1,cnypgd,1,response,A,10491,10474,10491,10491,10474,10491,1,0,10491,0,0,,Click Response,Response,2,object-5,main,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_b,1,
12,1680129109430,29/03/2023 22:31:49,1680103909430,-7,29/03/2023 08:31:49,128242,3,task-6yod,,28530021,BLIND,8479557,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,Interpretation,3,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1680122512965,29/03/2023 20:41:52,1680104512965,-5,29/03/2023 10:41:52,128242,3,task-6yod,,28530396,BLIND,8479698,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,Interpretation,3,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1680122516980,29/03/2023 20:41:56,1680104516980,-5,29/03/2023 10:41:56,128242,3,task-6yod,,28530396,BLIND,8479698,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,Interpretation,3,conds_collocation,1,main,Screen 1,cnypgd,1,response,B,4002.285,3985.6139999999996,4002.285,4002.285,3985.6139999999996,4002.285,1,0,4002.285,0,0,,Click Response,Response,3,object-6,main,Seus pais falam uma rara língua.,Eles falam um idioma que muito poucas pessoas falam.,Eles falam uma linguagem estranha.,opt_a,1,
3,1680122517052,29/03/2023 20:41:57,1680104517052,-5,29/03/2023 10:41:57,128242,3,task-6yod,,28530396,BLIND,8479698,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,Interpretation,3,conds_collocation,2,main,Screen 1,cnypgd,1,response,B,114.6589999985099,100.02900000000045,114.6589999985099,114.6589999985099,100.02900000000045,114.6589999985099,1,0,114.6589999985099,0,0,,Click Response,Response,3,object-6,main,O próprio presidente conversou com a classe.,Muitos anos atrás eles são amigos.,O presidente que já havia falado com a classe.,opt_a,1,
4,1680122518952,29/03/2023 20:41:58,1680104518952,-5,29/03/2023 10:41:58,128242,3,task-6yod,,28530396,BLIND,8479698,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,Interpretation,3,conds_collocation,3,main,Screen 1,cnypgd,1,response,A,1901.0600000000013,1884.3770000000004,1901.0600000000013,1901.0600000000013,1884.3770000000004,1901.0600000000013,1,0,1901.0600000000013,0,0,,Click Response,Response,2,object-5,main,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,1,
5,1680122518991,29/03/2023 20:41:58,1680104518991,-5,29/03/2023 10:41:58,128242,3,task-6yod,,28530396,BLIND,8479698,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,Interpretation,3,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,66.70400000000154,50.027000000000044,66.70400000000154,66.70400000000154,50.027000000000044,66.70400000000154,1,0,66.70400000000154,0,0,,Click Response,Response,2,object-5,main,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_b,1,
6,1680122521699,29/03/2023 20:42:01,1680104521699,-5,29/03/2023 10:42:01,128242,3,task-6yod,,28530396,BLIND,8479698,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,Interpretation,3,conds_collocation,5,main,Screen 1,cnypgd,1,response,A,2718.235999999997,2701.5629999999983,2718.235999999997,2718.235999999997,2701.5629999999983,2718.235999999997,1,0,2718.235999999997,0,0,,Click Response,Response,2,object-5,main,Marta é a pessoa única de quem falei.,"Não contei a você sobre mais ninguém, além de Marta.","Não há ninguém (tão especial) quanto Marta, que eu te disse.",opt_b,1,
7,1680122521742,29/03/2023 20:42:01,1680104521742,-5,29/03/2023 10:42:01,128242,3,task-6yod,,28530396,BLIND,8479698,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,Interpretation,3,conds_collocation,6,main,Screen 1,cnypgd,1,response,A,66.68800000000192,50.01600000000144,66.68800000000192,66.68800000000192,50.01600000000144,66.68800000000192,1,0,66.68800000000192,0,0,,Click Response,Response,2,object-5,main,Seus vizinhos são pobres homens.,Os vizinhos são infelizes.,Os vizinhos não têm dinheiro.,opt_a,1,
8,1680122522866,29/03/2023 20:42:02,1680104522866,-5,29/03/2023 10:42:02,128242,3,task-6yod,,28530396,BLIND,8479698,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,Interpretation,3,conds_collocation,7,main,Screen 1,cnypgd,1,response,B,1134.0149999999976,1117.3409999999985,1134.0149999999976,1134.0149999999976,1117.3409999999985,1134.0149999999976,1,0,1134.0149999999976,0,0,,Click Response,Response,3,object-6,main,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,1,
9,1680122522934,29/03/2023 20:42:02,1680104522934,-5,29/03/2023 10:42:02,128242,3,task-6yod,,28530396,BLIND,8479698,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,Interpretation,3,conds_collocation,8,main,Screen 1,cnypgd,1,response,B,92.20599999702063,83.3680000000004,92.20599999702063,92.20599999702063,83.3680000000004,92.20599999702063,1,0,92.20599999702063,0,0,,Click Response,Response,3,object-6,main,O artigo contém informações certas.,Contém algumas informações.,Ele contém informações que são para verar.,opt_b,1,
10,1680122524060,29/03/2023 20:42:04,1680104524060,-5,29/03/2023 10:42:04,128242,3,task-6yod,,28530396,BLIND,8479698,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,Interpretation,3,conds_collocation,9,main,Screen 1,cnypgd,1,response,A,1133.9619999999995,1117.2870000000003,1133.9619999999995,1133.9619999999995,1117.2870000000003,1133.9619999999995,1,0,1133.9619999999995,0,0,,Click Response,Response,2,object-5,main,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,1,
11,1680122524111,29/03/2023 20:42:04,1680104524111,-5,29/03/2023 10:42:04,128242,3,task-6yod,,28530396,BLIND,8479698,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,Interpretation,3,conds_collocation,10,main,Screen 1,cnypgd,1,response,A,68.95099999552986,50.01400000000103,68.95099999552986,68.95099999552986,50.01400000000103,68.95099999552986,1,0,68.95099999552986,0,0,,Click Response,Response,2,object-5,main,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_b,1,
12,1680122524114,29/03/2023 20:42:04,1680104524114,-5,29/03/2023 10:42:04,128242,3,task-6yod,,28530396,BLIND,8479698,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,Interpretation,3,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1680132308661,29/03/2023 23:25:08,1680107108661,-7,29/03/2023 09:25:08,128242,3,task-6yod,,28531539,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,Interpretation,3,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1680132328400,29/03/2023 23:25:28,1680107128400,-7,29/03/2023 09:25:28,128242,3,task-6yod,,28531539,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,Interpretation,3,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,19744,19711,19744,19744,19711,19744,1,0,19744,0,0,,Click Response,Response,2,object-5,main,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,1,
3,1680132339609,29/03/2023 23:25:39,1680107139609,-7,29/03/2023 09:25:39,128242,3,task-6yod,,28531539,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,Interpretation,3,conds_collocation,2,main,Screen 1,cnypgd,1,response,A,11243,11225,11243,11243,11225,11243,1,0,11243,0,0,,Click Response,Response,2,object-5,main,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_b,1,
4,1680132356104,29/03/2023 23:25:56,1680107156104,-7,29/03/2023 09:25:56,128242,3,task-6yod,,28531539,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,Interpretation,3,conds_collocation,3,main,Screen 1,cnypgd,1,response,A,16513,16498,16513,16513,16498,16513,1,0,16513,0,0,,Click Response,Response,2,object-5,main,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_b,1,
5,1680132364933,29/03/2023 23:26:04,1680107164933,-7,29/03/2023 09:26:04,128242,3,task-6yod,,28531539,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,Interpretation,3,conds_collocation,4,main,Screen 1,cnypgd,1,response,B,8845.000000000007,8825,8845.000000000007,8845.000000000007,8825,8845.000000000007,1,0,8845.000000000007,0,0,,Click Response,Response,3,object-6,main,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,1,
6,1680132368119,29/03/2023 23:26:08,1680107168119,-7,29/03/2023 09:26:08,128242,3,task-6yod,,28531539,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,Interpretation,3,conds_collocation,5,main,Screen 1,cnypgd,1,response,A,3206.0000000000073,3187,3206.0000000000073,3206.0000000000073,3187,3206.0000000000073,1,0,3206.0000000000073,0,0,,Click Response,Response,2,object-5,main,O próprio presidente conversou com a classe.,Muitos anos atrás eles são amigos.,O presidente que já havia falado com a classe.,opt_a,1,
7,1680132391834,29/03/2023 23:26:31,1680107191834,-7,29/03/2023 09:26:31,128242,3,task-6yod,,28531539,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,Interpretation,3,conds_collocation,6,main,Screen 1,cnypgd,1,response,A,23733,23711,23733,23733,23711,23733,1,0,23733,0,0,,Click Response,Response,2,object-5,main,Seus pais falam uma rara língua.,Eles falam um idioma que muito poucas pessoas falam.,Eles falam uma linguagem estranha.,opt_a,1,
8,1680132398557,29/03/2023 23:26:38,1680107198557,-7,29/03/2023 09:26:38,128242,3,task-6yod,,28531539,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,Interpretation,3,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,6745,6731,6745,6745,6731,6745,1,0,6745,0,0,,Click Response,Response,2,object-5,main,Marta é a pessoa única de quem falei.,"Não contei a você sobre mais ninguém, além de Marta.","Não há ninguém (tão especial) quanto Marta, que eu te disse.",opt_b,1,
9,1680132407588,29/03/2023 23:26:47,1680107207588,-7,29/03/2023 09:26:47,128242,3,task-6yod,,28531539,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,Interpretation,3,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,9046,9026,9046,9046,9026,9046,1,0,9046,0,0,,Click Response,Response,2,object-5,main,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,1,
10,1680132507393,29/03/2023 23:28:27,1680107307393,-7,29/03/2023 09:28:27,128242,3,task-6yod,,28531539,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,Interpretation,3,conds_collocation,9,main,Screen 1,cnypgd,1,response,B,99808,99774,99808,99808,99774,99808,1,0,99808,0,0,,Click Response,Response,3,object-6,main,Seus vizinhos são pobres homens.,Os vizinhos são infelizes.,Os vizinhos não têm dinheiro.,opt_a,1,
11,1680132513267,29/03/2023 23:28:33,1680107313267,-7,29/03/2023 09:28:33,128242,3,task-6yod,,28531539,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,Interpretation,3,conds_collocation,10,main,Screen 1,cnypgd,1,response,B,5921,5887,5921,5921,5887,5921,1,0,5921,0,0,,Click Response,Response,3,object-6,main,O artigo contém informações certas.,Contém algumas informações.,Ele contém informações que são para verar.,opt_b,1,
12,1680132513271,29/03/2023 23:28:33,1680107313271,-7,29/03/2023 09:28:33,128242,3,task-6yod,,28531539,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,Interpretation,3,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1680132606285,29/03/2023 23:30:06,1680107406285,-7,29/03/2023 09:30:06,128242,3,task-6yod,,28531697,BLIND,8480196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,3,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1680132618716,29/03/2023 23:30:18,1680107418716,-7,29/03/2023 09:30:18,128242,3,task-6yod,,28531697,BLIND,8480196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,3,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,12452.03800001192,12450.392,12452.03800001192,12452.03800001192,12450.392,12452.03800001192,1,0,12452.03800001192,0,0,,Click Response,Response,2,object-5,main,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,1,
3,1680132632614,29/03/2023 23:30:32,1680107432614,-7,29/03/2023 09:30:32,128242,3,task-6yod,,28531697,BLIND,8480196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,3,conds_collocation,2,main,Screen 1,cnypgd,1,response,B,13899.574000000002,13882.921,13899.574000000002,13899.574000000002,13882.921,13899.574000000002,1,0,13899.574000000002,0,0,,Click Response,Response,3,object-6,main,Seus vizinhos são pobres homens.,Os vizinhos são infelizes.,Os vizinhos não têm dinheiro.,opt_a,1,
4,1680132644841,29/03/2023 23:30:44,1680107444841,-7,29/03/2023 09:30:44,128242,3,task-6yod,,28531697,BLIND,8480196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,3,conds_collocation,3,main,Screen 1,cnypgd,1,response,A,12243.72500001192,12233.389,12243.72500001192,12243.72500001192,12233.389,12243.72500001192,1,0,12243.72500001192,0,0,,Click Response,Response,2,object-5,main,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_b,1,
5,1680132668907,29/03/2023 23:31:08,1680107468907,-7,29/03/2023 09:31:08,128242,3,task-6yod,,28531697,BLIND,8480196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,3,conds_collocation,4,main,Screen 1,cnypgd,1,response,B,24077.23599998808,24066.523999999998,24077.23599998808,24077.23599998808,24066.523999999998,24077.23599998808,1,0,24077.23599998808,0,0,,Click Response,Response,3,object-6,main,O artigo contém informações certas.,Contém algumas informações.,Ele contém informações que são para verar.,opt_b,1,
6,1680132679758,29/03/2023 23:31:19,1680107479758,-7,29/03/2023 09:31:19,128242,3,task-6yod,,28531697,BLIND,8480196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,3,conds_collocation,5,main,Screen 1,cnypgd,1,response,A,10861.211999988082,10850.025999999998,10861.211999988082,10861.211999988082,10850.025999999998,10861.211999988082,1,0,10861.211999988082,0,0,,Click Response,Response,2,object-5,main,Seus pais falam uma rara língua.,Eles falam um idioma que muito poucas pessoas falam.,Eles falam uma linguagem estranha.,opt_a,1,
7,1680132696646,29/03/2023 23:31:36,1680107496646,-7,29/03/2023 09:31:36,128242,3,task-6yod,,28531697,BLIND,8480196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,3,conds_collocation,6,main,Screen 1,cnypgd,1,response,B,16898.685999988083,16883.323000000004,16898.685999988083,16898.685999988083,16883.323000000004,16898.685999988083,1,0,16898.685999988083,0,0,,Click Response,Response,3,object-6,main,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,1,
8,1680132706055,29/03/2023 23:31:46,1680107506055,-7,29/03/2023 09:31:46,128242,3,task-6yod,,28531697,BLIND,8480196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,3,conds_collocation,7,main,Screen 1,cnypgd,1,response,B,9424.663,9416.660000000003,9424.663,9424.663,9416.660000000003,9424.663,1,0,9424.663,0,0,,Click Response,Response,3,object-6,main,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,1,
9,1680132713785,29/03/2023 23:31:53,1680107513785,-7,29/03/2023 09:31:53,128242,3,task-6yod,,28531697,BLIND,8480196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,3,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,7737.202999988076,7733.312999999995,7737.202999988076,7737.202999988076,7733.312999999995,7737.202999988076,1,0,7737.202999988076,0,0,,Click Response,Response,2,object-5,main,Marta é a pessoa única de quem falei.,"Não contei a você sobre mais ninguém, além de Marta.","Não há ninguém (tão especial) quanto Marta, que eu te disse.",opt_b,1,
10,1680132727734,29/03/2023 23:32:07,1680107527734,-7,29/03/2023 09:32:07,128242,3,task-6yod,,28531697,BLIND,8480196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,3,conds_collocation,9,main,Screen 1,cnypgd,1,response,B,13956.990000011923,13950.718999999997,13956.990000011923,13956.990000011923,13950.718999999997,13956.990000011923,1,0,13956.990000011923,0,0,,Click Response,Response,3,object-6,main,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_b,1,
11,1680132734950,29/03/2023 23:32:14,1680107534950,-7,29/03/2023 09:32:14,128242,3,task-6yod,,28531697,BLIND,8480196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,3,conds_collocation,10,main,Screen 1,cnypgd,1,response,B,7222.471000000005,7216.005000000019,7222.471000000005,7222.471000000005,7216.005000000019,7222.471000000005,1,0,7222.471000000005,0,0,,Click Response,Response,3,object-6,main,O próprio presidente conversou com a classe.,Muitos anos atrás eles são amigos.,O presidente que já havia falado com a classe.,opt_a,1,
12,1680132734964,29/03/2023 23:32:14,1680107534964,-7,29/03/2023 09:32:14,128242,3,task-6yod,,28531697,BLIND,8480196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,3,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1680122780147,29/03/2023 20:46:20,1680108380147,-4,29/03/2023 12:46:20,128242,3,task-6yod,,28532133,BLIND,8480315,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Interpretation,3,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1680122801332,29/03/2023 20:46:41,1680108401332,-4,29/03/2023 12:46:41,128242,3,task-6yod,,28532133,BLIND,8480315,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Interpretation,3,conds_collocation,1,main,Screen 1,cnypgd,1,response,B,21215.708,21207.033,21215.708,21215.708,21207.033,21215.708,1,0,21215.708,0,0,,Click Response,Response,3,object-6,main,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,1,
3,1680122806011,29/03/2023 20:46:46,1680108406011,-4,29/03/2023 12:46:46,128242,3,task-6yod,,28532133,BLIND,8480315,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Interpretation,3,conds_collocation,2,main,Screen 1,cnypgd,1,response,B,4648.044999999998,4631.3139999999985,4648.044999999998,4648.044999999998,4631.3139999999985,4648.044999999998,1,0,4648.044999999998,0,0,,Click Response,Response,3,object-6,main,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,1,
4,1680122813214,29/03/2023 20:46:53,1680108413214,-4,29/03/2023 12:46:53,128242,3,task-6yod,,28532133,BLIND,8480315,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Interpretation,3,conds_collocation,3,main,Screen 1,cnypgd,1,response,B,7258.861000000001,7246.672000000002,7258.861000000001,7258.861000000001,7246.672000000002,7258.861000000001,1,0,7258.861000000001,0,0,,Click Response,Response,3,object-6,main,O próprio presidente conversou com a classe.,Muitos anos atrás eles são amigos.,O presidente que já havia falado com a classe.,opt_a,1,
5,1680122824414,29/03/2023 20:47:04,1680108424414,-4,29/03/2023 12:47:04,128242,3,task-6yod,,28532133,BLIND,8480315,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Interpretation,3,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,11213.388999995528,11211.593,11213.388999995528,11213.388999995528,11211.593,11213.388999995528,1,0,11213.388999995528,0,0,,Click Response,Response,2,object-5,main,Marta é a pessoa única de quem falei.,"Não contei a você sobre mais ninguém, além de Marta.","Não há ninguém (tão especial) quanto Marta, que eu te disse.",opt_b,1,
6,1680122828719,29/03/2023 20:47:08,1680108428719,-4,29/03/2023 12:47:08,128242,3,task-6yod,,28532133,BLIND,8480315,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Interpretation,3,conds_collocation,5,main,Screen 1,cnypgd,1,response,A,4306.695999994037,4298.042999999998,4306.695999994037,4306.695999994037,4298.042999999998,4306.695999994037,1,0,4306.695999994037,0,0,,Click Response,Response,2,object-5,main,Seus pais falam uma rara língua.,Eles falam um idioma que muito poucas pessoas falam.,Eles falam uma linguagem estranha.,opt_a,1,
